Title,Venue short,Year,Task Type,Task,Programming Language(s),Training Set Size,Test Set Size,Granularity,Pre-Training,is_ML_Based,ML Technique,Approach,Evaluation Metrics,Solution in industry,Qualitative,Link Replication Package,is_RP_still_available
Reviewer Recommendation using Software Artifact Traceability Graphs,PROMISE,2019,Other,Recommending Reviewers,Java,942,293.4k,Commit,FALSE,FALSE,-,Heuristic-based,"Accuracy@k Mean Reciprocal Rank",FALSE,FALSE,https://figshare.com/s/27a35b4ae70269481a2c,YES
Reviewer recommendation for pull-requests in GitHub: What can we learn from code review and bug assignment?,JIST,2016,Other,Recommending Reviewers,"Ruby, C++, Python, PHP, Java",?,~6300,PR,FALSE,TRUE,SVM + Proposed CN,"ML, IR, FL, CN","Precision  Recall  F-measure   Manual analysis",FALSE,FALSE,NO,-
Search-Based Peer Reviewers Recommendation in Modern Code Review,ICSME,2016,Other,Recommending Reviewers,Independent,34.5k,1k,PR,FALSE,FALSE,-,Search-based,"Precision  Recall  Mean Reciprocal Rank",FALSE,FALSE,NO,-
Semantics-assisted code review: An efficient tool chain and a user study,ASE,2017,Other,Visualizing Code Changes,Java,-,100,Commit,FALSE,FALSE,-,Impact Analysis-based visualization,-,FALSE,TRUE,NO,-
SentiCR: A customized sentiment analysis tool for code review interactions,ASE,2017,Code Review Sent. Analysis,Classifying the Sentiment of Review Comments,Independent,1600 (10-fold cross-validation),1600 (10-fold cross-validation),Review comment,FALSE,TRUE,"Adaptive Boosting Decision Tree Gradient Boosting Tree Naïve Bayes Random Forest Multilayer Perceptron SVM with Stochastic Gradient Descent Linear SVM",ML,"Accuracy  Precision  Recall  F-measure",FALSE,FALSE,https://github.com/senticr/SentiCR/,YES
Striffs: Architectural Component Diagrams for Code Reviews,ICCQ,2021,Other,Visualizing Code Changes,"Java, Go",-,-,Diff hunk,FALSE,FALSE,-,Heuristic-based,-,FALSE,FALSE,https://github.com/hadii-tech/striff-lib,YES
Supporting automatic code review via design pattern,SERE-C,2013,Code Change Quality Check,Checking Design Patterns Consistency,Java,-,68,File,FALSE,FALSE,-,Heuristic-based,-,FALSE,FALSE,NO,-
The review linkage graph for code review analytics: A recovery approach and empirical study,ESEC/FSE,2019,Retrieval of Similar CR/CC,Augmenting Reviews,Independent,752,752,Code review,FALSE,TRUE,"SVM, Random Forest, Naïve Bayes, ecc.",ML,"Precision Recall F1-score
Area Under the ROC Curve",FALSE,FALSE,https://github.com/software-rebels/ReviewLinkageGraph,YES
Tool Support for Managing Clone Refactorings to Facilitate Code Review in Evolving Software,COMPSAC,2017,Code Change Quality Check,Identifying Clone Refactoring Opportunities,Java,-,1258,PR,FALSE,FALSE,-,Heuristic-based,"Precision  Recall  Accuracy F1-score",FALSE,TRUE,https://faculty.ist.unomaha.edu/msong/pri,NO
Towards Automated Classification of Code Review Feedback to Support Analytics,ESEM,2023,Other,Classifying the Goal of a Review Comment or the Type of Change Triggered by a Comment,Python,1828 (10-fold cross-validation),1828 (10-fold cross-validation),Review comment,TRUE,TRUE,CodeBERT,DL,"Accuracy Precision Recall F1-score Matthew’s Correlation Coefficient",FALSE,FALSE,https://github.com/WSU-SEAL/CR-classification-ESEM23,YES
Towards Automating Code Review Activities,ICSE,2021,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,Java,~15.5k,~1.7k,Method,FALSE,TRUE,NMT,DL,"Exact Match BLEU-4 Levenshtein distance",FALSE,TRUE,https://github.com/RosaliaTufano/code_review,YES
Towards Automating Code Review Activities,ICSE,2021,Revised Code Generation,Predicting the Code Output of the Review Process,Java,~15.5k,~1.7k,Method,FALSE,TRUE,NMT,DL,"Exact Match BLEU-4 Levenshtein distance",FALSE,TRUE,https://github.com/RosaliaTufano/code_review,YES
Towards Efficient Fine-Tuning of Language Models With Organizational Data for Automated Software Review,TSE,2024,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review","C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby",167k (training) + 66k (validation),66k,Code change,TRUE,TRUE,CodeLlama,DL,"Accuracy
Precision
Recall
F1-score",FALSE,FALSE,NO,-
Towards Efficient Fine-Tuning of Language Models With Organizational Data for Automated Software Review,TSE,2024,Code Change Quality Check,Generating Review Comments,"C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby","83k (training) + 28k (validation) 56k (training) + 19k (validation)","28k 19k",Code change/Issue,TRUE,TRUE,CodeLlama,DL,"BLEU

human feedback:
Technical Accuracy
Clarity and Readability
Contextual Understanding and Relevance",FALSE,TRUE,NO,-
Towards Efficient Fine-Tuning of Language Models With Organizational Data for Automated Software Review,TSE,2024,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,"C, C++, C#, Go, Java, JavaScript, PHP, Python, and Ruby",106k (training) + 35k (validation),35k,Code change/Comment,TRUE,TRUE,CodeLlama,DL,"BLEU
Exact Match",FALSE,FALSE,NO,-
ToxiSpanSE: An Explainable Toxicity Detection in Code Review Comments,ESEIW,2023,Code Review Sent. Analysis,Identifying Toxic/Uncivil Code Review Comments,Independent,19651 (10-fold cross-validation),19651 (10-fold cross-validation),Review comment,TRUE,TRUE,"lexicon-based approach transformer-based encoders",DL,"F1-score Precision Recall",FALSE,FALSE,https://github.com/WSU-SEAL/ToxiSpanSE,YES
Understanding why we cannot model how long a code review will take: an industrial case study,ESEC/FSE ,2022,Time Management,Predicting Pull Request/Code Review Completion Time,Independent,120k,30k,PR,FALSE,TRUE,Random Forest,ML,"Mean Absolute Error Median Absolute Error P75 Max",FALSE,FALSE,NO,-
Using Large-scale Heterogeneous Graph Representation Learning for Code Review Recommendations at Microsoft,ICSE-SEIP,2023,Other,Recommending Reviewers,Independent,"1,343.8k",254k,PR,FALSE,TRUE,graph convolutional neural network ,DL,"Accuracy Mean Reciprocal Rank",FALSE,TRUE,NO,-
Using Machine Intelligence to Prioritise Code Review Requests,ICSE-SEIP,2021,Time Management,Prioritizing Review Requests,Independent,-,-,PR,FALSE,TRUE,Bayesian Network,ML,"RMSE  Mean Absolute Error ",TRUE,TRUE,NO,-
Using Pre-Trained Models to Boost Code Review Automation,ICSE,2022,Code Change Quality Check,Generating Review Comments,Java,~151k,~16.8k,Method,TRUE,TRUE,T5,DL,"Exact Match BLEU-4",FALSE,TRUE,https://github.com/RosaliaTufano/code_review_automation,YES
Using Pre-Trained Models to Boost Code Review Automation,ICSE,2022,Revised Code Generation,Implementing the Code Change Requested by a Reviewer,Java,~151k,~16.8k,Method,TRUE,TRUE,T5,DL,"Exact Match BLEU-4",FALSE,TRUE,https://github.com/RosaliaTufano/code_review_automation,YES
Using Pre-Trained Models to Boost Code Review Automation,ICSE,2022,Revised Code Generation,Predicting the Code Output of the Review Process,Java,~151k,~16.8k,Method,TRUE,TRUE,T5,DL,"Exact Match BLEU-4",FALSE,TRUE,https://github.com/RosaliaTufano/code_review_automation,YES
Using Stack Overflow content to assist in code review,Software - Practice and Experience,2019,Code Change Quality Check,Predicting Code Defectiveness,"Java, C, Python, JavaScript ",-,370 + 1k,File,FALSE,FALSE,-,Heuristic-based,"Matching Ration  F1-score",TRUE,TRUE,NO,-
Using a Context-Aware Approach to Recommend Code Reviewers: Findings from an Industrial Case Study,ICSE-SEIP,2020,Other,Recommending Reviewers,Independent,-,47,PR,FALSE,TRUE,LightFM algorithm,ML,"Mean Reciprocal Rank Perceived accuracy Candidates perception  Tool feasibility",TRUE,TRUE,NO,-
Using a balanced scorecard to identify opportunities to improve code review effectiveness: an industrial experience report,EMSE,2021,Assessing Review Quality,Classifying the Usefulness of Review Comments,Independent,1804,200,Review comment,FALSE,TRUE,"Decision Tree Random Forest SVM Multi Layer Perceptron XGBoost Logistic Regression",ML,"Accuracy  Precision  Recall  F1-score",TRUE,TRUE,https://github.com/WSU-SEAL/CRA-usefulness-model,YES
Using code reviews to automatically configure static analysis tools,EMSE,2022,Other,Configuring Static Code Analysis Tools ,Java,"31,594","1,872",Review comment,FALSE,TRUE,SVM,ML,"Precision  Recall   Micro-Averaged Precision  Macro-Averaged Precision  Macro-Averaged Recall",FALSE,TRUE,https://zenodo.org/record/4399225#.Y1-oSezMK0o,YES
Using knowledge units of programming languages to recommend reviewers for pull requests: an empirical study,EMSE,2024,Other,Recommending Reviewers,Java,-,-,PR,FALSE,FALSE,-,Heuristic-based,"Accuracy@k
Mean Average Precision
Reasonable Recommendation",FALSE,FALSE,https://drive.google.com/drive/folders/1bSC9iRtjKjMTRa9hiyECijgABKGfpyT4,YES
Using nudges to accelerate code reviews at scale,ESEC/FSE,2022,Time Management,Identifying Blocking Actors in Pull Requests,Independent,-,2875,PR,FALSE,FALSE,-,Heuristic-based,"Mean Absolute Error  Mean Magnitude of Relative Error",TRUE,TRUE,NO,-
Using nudges to accelerate code reviews at scale,ESEC/FSE,2022,Time Management,Predicting Pull Request/Code Review Completion Time,Independent,-,2875,PR,FALSE,FALSE,-,Heuristic-based,"Mean Absolute Error  Mean Magnitude of Relative Error",TRUE,TRUE,NO,-
What happens in my code reviews? An investigation on automatically classifying review changes,EMSE,2022,Other,Classifying the Goal of a Review Comment or the Type of Change Triggered by a Comment,Java,1504 (10-fold cross-validation),1504 (10-fold cross-validation),Code change,FALSE,TRUE,"Random Forest, J48 (Decision tree), Naive Bayes",ML,"Precision Recall F1-score
Area Under the ROC Curve Matthew’s Correlation Coefficient",FALSE,TRUE,https://zenodo.org/records/5592254,YES
Where Should I Look at? Recommending Lines that Reviewers Should Pay Attention To,SANER,2022,Code Change Quality Check,Predicting Problematic Code Elements,"Python, C++",~8.2k,2'053,PR/File/Line,FALSE,TRUE,"Bag of Words (BoW) Random Forest (RF) Decision Tree (DT) Logistic Regression (LR) Naive Bayes (NB) k-Nearest Neighbours (KNN) Random Guessing",ML,"AUC top-10 accuracy  distance-to-heaven Recall   False alarm rate",FALSE,TRUE,https://github.com/awsm-research/RevSpot-replication-package,YES
Who should review my code? A file location-based code-reviewer recommendation approach for Modern Code Review,SANER,2015,Other,Recommending Reviewers,Independent,-,42k,PR,FALSE,FALSE,-,Heuristic-based,"Accuracy  Mean Reciprocal Rank",FALSE,FALSE,https://github.com/patanamon/revfinder,YES
Who should review this change? Putting text and file location analyses together for more accurate recommendations,ICSME,2015,Other,Recommending Reviewers,Independent,42k,42k,Commit,FALSE,TRUE,Naive Bayes Multinomial,ML,"Accuracy  Mean Reciprocal Rank",FALSE,FALSE,NO,-
WhoDo: Automating reviewer suggestions at scale,ESEC/FSE,2019,Other,Recommending Reviewers,Independent,-,~2k,PR,FALSE,FALSE,-,Heuristic-based,"Hit rate Average number of reviews per PR Average PR completion time  Average per-reviewer active load",TRUE,TRUE,NO,-
Workload-aware reviewer recommendation using a multi-objective search-based approach,PROMISE,2020,Other,Recommending Reviewers,Independent,-,230090,PR,FALSE,FALSE,-,Search-based,"Precision  Recall  F-measure  Hypervolume",FALSE,FALSE,NO,-
iReview: an Intelligent Code Review Evaluation Tool using Biofeedback,ISSRE,2021,Assessing Review Quality,Assessing Review Quality through Biometrics,C,-,84,Code review,FALSE,TRUE,K-nearest Neighbors ,ML,"True Positive False Positive False Negative",FALSE,FALSE,NO,-
Assessing MCR Discussion Usefulness Using Semantic Similarity,IWESEP,2014,Assessing Review Quality,Classifying the Usefulness of Review Comments,Independent,318 (bootstrapping cross-validation),318 (bootstrapping cross-validation),Review comment,FALSE,FALSE,-,Heuristic-based,"Precision  Recall",FALSE,FALSE,NO,-
Review sharing via deep semi-supervised code clone detection,IEEE Access,2020,Retrieval of Similar CR/CC,Augmenting Reviews,Java,400,2k,Code snippet,FALSE,FALSE,-,Search-based,"Precision  Recall  F1-score",FALSE,FALSE,NO,-
STYLE-ANALYZER: Fixing code style inconsistencies with interpretable unsupervised algorithms,MSR,2019,Code Change Quality Check,Reviewing Code Formatting Violations,JavaScript,2'652'683,~663k,File,FALSE,TRUE,Random Forest Classifier,ML,"Precision
Prediction Rate
Recall
F1-score
Rule length
Training time",FALSE,FALSE,https://github.com/src-d/style-analyzer,YES
TIRR: A code reviewer recommendation algorithm with topic model and reviewer influence,GLOBECOM,2019,Other,Recommending Reviewers,Independent,22.3k,3439,PR,FALSE,FALSE,-,New algorithm based on topic info,"Precision  Recall  F1-score",FALSE,FALSE,NO,-
Turn tree into graph: Automatic code review via simplified ast driven graph convolutional network,KBS,2022,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review",Java,-,109637,Method,FALSE,TRUE,Simplified AST based Graph Convolutional Network,DL,"Accuracy  F1-score Area Under the ROC Curve Matthew’s Correlation Coefficient",FALSE,FALSE,https://github.com/SimAST-GCN/SimAST-GCN,YES
Who should comment on this pull request? Analyzing attributes for more accurate commenter recommendation in pull-based development,JIST,2017,Other,Recommending Reviewers,Independent,-,"19,543",PR,FALSE,FALSE,-,Heuristic-based,"precision Recall",FALSE,FALSE,NO,-
Who should make decision on this pull request? Analyzing time-decaying relationships and file similarities for integrator prediction,JSS,2019,Other,Recommending Reviewers,Independent,138.4k,138.4k,PR,FALSE,TRUE,Random Forest Classifier,ML,"Accuracy  Mean Reciprocal Rank",FALSE,TRUE,NO,-
WhoReview: A multi-objective search-based approach for code reviewers recommendation in modern code review,WFSC,2020,Other,Recommending Reviewers,Independent,38k,4k,Commit,FALSE,FALSE,-,Search-based,"Precision  Recall  Mean Reciprocal Rank Generational Distance 
Hypervolume Spacing 
Contribution",TRUE,TRUE,NO,-
Automatic code review by learning the revision of source code,AAAI,2019,Code Change Classification,"Predicting Code Changes Approval, Merge, or Need for review",Java,~35.6k (10-fold cross-validation),~35.6k (10-fold cross-validation),Method,FALSE,TRUE,CNN and LSTM,DL,"Area Under the ROC Curve F1-score",FALSE,FALSE,NO,-
Code inspection support for recurring changes with deep learning in evolving software,COMPSAC,2020,Code Change Analysis,Linking Similar Contributions,Java,14k,7k,Code change,FALSE,TRUE,-,DL,F1-score,FALSE,FALSE,https://sites.google.com/unomaha.edu/recurring-changes-deeplearning/,NO
CoreDevRec: Automatic core member recommendation for contribution evaluation,JCST,2015,Other,Recommending Reviewers,Independent,18'651,18'651,PR,FALSE,TRUE,SVM,ML,"Accuracy@k
Mean Reciprocal Rank",FALSE,FALSE,NO,-
Intelligent code reviews using deep learning,KDD,2018,Retrieval of Similar CR/CC,Augmenting Reviews,C#,~164.7k,~18.3k,Code snippet,FALSE,TRUE,LSTM,DL,Mean Reciprocal Rank,TRUE,TRUE,NO,-
Learning to rank reviewers for pull requests,IEEE Access,2019,Other,Recommending Reviewers,Independent,"43,986 (k-fold cross-validation)","43,986 (k-fold cross-validation)",PR,FALSE,TRUE,Ranking model,ML,"Accuracy Mean Average Precision Mean Reciprocal Rank",FALSE,FALSE,NO,-
Predicting defectiveness of software patches,ESEM,2016,Code Change Quality Check,Predicting Code Defectiveness,Independent,4.7k (10-fold cross-validation),4.7k (10-fold cross-validation),PR,FALSE,TRUE,Logistic Regression Naaive Bayes Bayesian Network,ML,"Probability of detection Probability of false alarms Balance F-measure  Area Under the ROC Curve",FALSE,FALSE,NO,-
Predicting Pull Request Completion Time: A Case Study on Large Scale Cloud Services,ESEC/FSE,2019,Time Management,Predicting Pull Request/Code Review Completion Time,Independent,"2,875 PRs (10-fold cross-validation)","2,875 PRs (10-fold cross-validation)",PR,FALSE,TRUE,Regression Algorithms:  Least Squares linear regression Beyesian Ridge regression Gradient Boosting,ML,"Mean Absolute Error  Mean Relative Error",TRUE,TRUE,NO,-
Profile based recommendation of code reviewers,JIIS,2017,Other,Recommending Reviewers,Independent,-,"42,045",Commit,FALSE,FALSE,-,Heuristic-based,"Precision  Recall  F-measure  Mean Reciprocal Rank",FALSE,FALSE,https://github.com/mfejzer/reviewers_recommendation,YES
